Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47854.4,16.36636364,0.1,171.5534021,645.6256257,-0.145504957,16.22545454,0.1,194.86243869999998,609.9514899000001,-0.109348099,16.97,0.1,222.0104475,569.1488293,-0.072610452,17.11363636,0.1,248.4194788,529.482017,-0.050165935999999994,16.61,0.1,266.6885745,502.3962382,-0.030836592000000003
47854.5,16.36,0.1,170.6473185,646.9888492,-0.14676241,16.24111111,0.1,193.9626487,611.300871,-0.110536019,16.97555556,0.1,221.06850380000003,570.5613137999999,-0.073799275,17.10777778,0.1,247.474169,530.90804,-0.051087102,16.62888889,0.1,265.7710025,503.7823553,-0.031593102000000005
47854.6,16.35727273,0.1,169.740172,648.3516791000001,-0.148024092,16.26454545,0.1,193.0621563,612.6516134999999,-0.11172587199999999,16.98090909,0.1,220.12727579999998,571.9750924,-0.0750035,17.09909091,0.1,246.53053619999997,532.3340858,-0.052042117,16.64818182,0.1,264.8519589,505.1697325,-0.03238023
47854.7,16.35222222,0.1,168.8334827,649.7148354,-0.149273724,16.28,0.1,192.16021630000003,614.0042011,-0.1129674,16.99,0.1,219.18618650000002,573.3894899000001,-0.07626271400000001,17.08666667,0.1,245.5883762,533.7597157,-0.053026696,16.66555555,0.1,263.9317201,506.5586624,-0.033121322
47854.8,16.35181818,0.1,167.9271065,651.0778345,-0.15050843,16.29454545,0.1,191.25749580000002,615.3581164,-0.11418035300000001,16.99,0.1,218.24480950000003,574.8043938999999,-0.077527174,17.07454546,0.1,244.64684190000003,535.1846371,-0.054024921,16.68727273,0.1,263.0093428,507.94839110000004,-0.033840083
47854.9,16.35,0.1,167.0206408,652.4409462,-0.151732457,16.31111111,0.1,190.35349,616.7135955,-0.115428037,16.99777778,0.1,217.3030786,576.2195230000001,-0.07877658,17.06333333,0.1,243.7061554,536.6086700000001,-0.05501845,16.70888889,0.1,262.0849051,509.33905360000006,-0.034622209
47855.0,16.35090909,0.1,166.1143679,653.8042945000001,-0.152956406,16.32363636,0.1,189.4488358,618.0698848,-0.11666227,17.00545455,0.1,216.36034500000002,577.6348098999999,-0.080044755,17.05272727,0.1,242.7664491,538.0319495,-0.056023687999999995,16.73090909,0.1,261.1588877,510.73089739999995,-0.035425427999999995
47855.1,16.35222222,0.1,165.2077352,655.1670579,-0.15418899,16.34,0.1,188.5435273,619.4275693,-0.117923656,17.01333333,0.1,215.4166687,579.0496806,-0.081327065,17.04333333,0.1,241.8275727,539.4541605000001,-0.057062292,16.75111111,0.1,260.2312846,512.1235289,-0.036239307000000005
47855.2,16.35181818,0.1,164.30157769999997,656.5304514999999,-0.1554092,16.34272727,0.1,187.6382854,620.7862102999999,-0.119128786,17.02,0.1,214.47139469999996,580.4647203,-0.082640111,17.03272727,0.1,240.88984469999997,540.8759217999999,-0.058092365,16.77363636,0.1,259.30172930000003,513.5174542,-0.037039546
47855.3,16.35111111,0.1,163.3952947,657.8931704,-0.156627819,16.35888889,0.1,186.7327737,622.1457514,-0.12029527599999999,17.02888889,0.1,213.5255026,581.8792201,-0.08394314,17.02222222,0.1,239.95282630000003,542.2974246,-0.059073004000000005,16.79777778,0.1,258.3706602,514.9135733,-0.03784087
